pr_number,issue_number,commit_date,author,title,body,closer,files
6064,6064,2023-10-17T01:40:49Z,dignow,Feat/open multi windows,"Add an option ""Use all my displays when connecting"", to open multiple windows and set fullscreen.

> Note: It only shows remote available displays, we do not create virtual display like RDP for you.

https://github.com/rustdesk/rustdesk/assets/136106582/f6ab4881-ef21-4b00-b015-dcd3c537ab80

",rustdesk,"flutter/lib/common.dart, flutter/lib/common/widgets/toolbar.dart, flutter/lib/consts.dart, flutter/lib/desktop/pages/desktop_home_page.dart, flutter/lib/desktop/pages/desktop_setting_page.dart, flutter/lib/desktop/pages/remote_tab_page.dart, flutter/lib/desktop/widgets/remote_toolbar.dart, flutter/lib/main.dart, flutter/lib/models/model.dart, flutter/lib/models/state_model.dart, flutter/lib/utils/multi_window_manager.dart, libs/hbb_common/src/config.rs, src/client.rs, src/flutter_ffi.rs, src/lang/ar.rs, src/lang/ca.rs, src/lang/cn.rs, src/lang/cs.rs, src/lang/da.rs, src/lang/el.rs, src/lang/eo.rs, src/lang/es.rs, src/lang/fa.rs, src/lang/fr.rs, src/lang/hu.rs, src/lang/id.rs, src/lang/it.rs, src/lang/ja.rs, src/lang/ko.rs, src/lang/kz.rs"
6063,6063,2023-10-17T00:56:02Z,cacing69,improve ID lang trans,,,src/lang/id.rs
6061,6061,2023-10-16T15:21:46Z,dignow,"fix, remove warns, misspellings",,,"flutter/lib/models/chat_model.dart, flutter/lib/models/model.dart"
6056,6056,2023-10-16T10:06:51Z,solokot,Update ru.rs,,,src/lang/ru.rs
6055,6055,2023-10-16T10:01:31Z,BestiaPL,Update pl.rs,,,src/lang/pl.rs
6051,6051,2023-10-16T02:50:04Z,fufesou,"fix, connect the same peer","https://github.com/rustdesk/rustdesk/issues/6049


https://github.com/rustdesk/rustdesk/assets/13586388/d4c67d3c-1dcc-4a48-9948-d84b44c3c2fe

",,"flutter/lib/consts.dart, flutter/lib/utils/multi_window_manager.dart"
6050,6050,2023-10-15T19:09:01Z,bovirus,Update Italian language,"@rustdesk 

Please check and merge. Thanks.",,src/lang/it.rs
6047,6047,2023-10-15T16:25:18Z,dignow,"fix, non-texture render, next_rgba","Fix several bugs, if build without `flutter_texture_render` feature (including Android).

1. `next_rgba()`, set the valid rgba flag to be false. Critical logic error. This will prevent updating the image.
2. `updateCurDisplay()`, move `_rect = newRect;` after updating current display values of cursor model. 2. `updateCurDisplay()`, update the current display value of the cursor model and then move `_rect = newRect;`. This will result in incorrect mouse or touch position handling.
3. Remove the ""merged displays image"" choise and ""Show displays as individual windows"" option.",,"flutter/lib/common.dart, flutter/lib/common/widgets/toolbar.dart, flutter/lib/desktop/pages/desktop_setting_page.dart, flutter/lib/desktop/widgets/remote_toolbar.dart, flutter/lib/models/model.dart, src/flutter.rs"
6045,6045,2023-10-15T08:27:33Z,21pages,fix ios ci,"https://github.com/21pages/rustdesk/actions/runs/6522879378/job/17712961757

don't know why call session_get_rgba",,flutter/ios/Runner/AppDelegate.swift
6043,6043,2023-10-15T03:21:45Z,SergeyMy,Update ru.rs,,,src/lang/ru.rs
6040,6040,2023-10-14T23:38:49Z,sahilyeole,Feat autocomplete/search while typing in remote ID field,"https://github.com/rustdesk/rustdesk/discussions/5350
Search for peer ID, username, hostname, and alias.
Search in recent, lan, address book, and group peers.



https://github.com/rustdesk/rustdesk/assets/73148455/7e79d446-af05-4c07-b897-6b2425e1ac89

(updated video)

<img width=""400"" alt=""Screenshot 2023-10-15 at 5 04 26 AM"" src=""https://github.com/rustdesk/rustdesk/assets/73148455/9de449c5-43d7-4a75-bac9-eebe60264bdf"">
(tag colour)",rustdesk,"flutter/lib/desktop/pages/connection_page.dart, src/flutter_ffi.rs"
6037,6037,2023-10-14T18:26:29Z,Mr-Update,Update de.rs,,,src/lang/de.rs
6036,6036,2023-10-14T15:43:37Z,Kleofass,Update lv.rs,,,src/lang/lv.rs
6035,6035,2023-10-14T14:52:31Z,cacing69,improve ID translation,,,src/lang/id.rs
6033,6033,2023-10-14T14:33:34Z,cacing69,improve id translation,,,src/lang/id.rs
6032,6032,2023-10-14T14:08:46Z,Mr-Update,Update de.rs,@grummbeer You are right.,,src/lang/de.rs
6031,6031,2023-10-14T13:13:35Z,21pages,not show remove wallpaper option if unsupported,"1. Show the option only when
* windows (test on win7, 10, 11),  gnome (test on ubuntu 22.04) and xfce (test on xubuntu 23.04)
* able to obtain wallpaper
2. Show the ""Test"" button only when the option is checked.",,"Cargo.lock, flutter/lib/desktop/pages/desktop_setting_page.dart, src/flutter_ffi.rs, src/platform/linux.rs, src/platform/windows.rs, src/ui.rs, src/ui/index.tis, src/ui_interface.rs"
6029,6029,2023-10-14T04:45:17Z,SergeyMy,Update ru.rs,,,src/lang/ru.rs
6026,6026,2023-10-13T15:16:42Z,bovirus,Update Italian language,"@rustdesk 

Please check and merge. Thanks.",,src/lang/it.rs
6024,6024,2023-10-13T09:56:37Z,Mr-Update,Update de.rs,,grummbeer,src/lang/de.rs
6021,6021,2023-10-13T07:20:54Z,kaushal1717,added null check,Added null check on pos parameter,,flutter/lib/common.dart
6018,6018,2023-10-13T06:29:22Z,21pages,sync option share rdp,only changes made after installation take effect.,,src/hbbs_http/sync.rs
6007,6007,2023-10-12T15:46:55Z,cacing69,improve id  translate,,,"docs/README-ID.md, src/lang/id.rs"
6006,6006,2023-10-12T15:20:14Z,fufesou,Fix window hide sometimes,"https://github.com/rustdesk/rustdesk/issues/5986

The error: `handleUriLink()` returns `true`, which causes `hide()`.

But ""async/await"" usually causes the window to show up after `hide()`.",rustdesk,flutter/lib/common.dart
6005,6005,2023-10-12T14:09:10Z,21pages,remove option enable rdp,"fix https://github.com/rustdesk/rustdesk/commit/302a43d68c7e786f02ba9c2b64b4a2b96ac91c0c

RDP is a type of port forward.",,"flutter/lib/desktop/pages/desktop_setting_page.dart, src/lang/ar.rs, src/lang/ca.rs, src/lang/cn.rs, src/lang/cs.rs, src/lang/da.rs, src/lang/de.rs, src/lang/el.rs, src/lang/eo.rs, src/lang/es.rs, src/lang/fa.rs, src/lang/fr.rs, src/lang/hu.rs, src/lang/id.rs, src/lang/it.rs, src/lang/ja.rs, src/lang/ko.rs, src/lang/kz.rs, src/lang/lt.rs, src/lang/lv.rs, src/lang/nl.rs, src/lang/pl.rs, src/lang/pt_PT.rs, src/lang/ptbr.rs, src/lang/ro.rs, src/lang/ru.rs, src/lang/sk.rs, src/lang/sl.rs, src/lang/sq.rs, src/lang/sr.rs"
